newspaper,publication_date,page,arrival_date,port_of_origin,date_of_departure_from_port_of_origin,port_and_date_of_call,type_of_ship,ship_flag,name_of_ship,tonnage_of_ship,name_of_captain,cargo_information,consignee_of_cargo,consignee_of_ship,intelligence,raw_text
MAR_SM,1895_1_1,3,Du 31 décem,ALGER,19 dée.,,vap,ir,GENERAL-CHANZY,720 tx,e. Lelanchon,avec 233 tx div.,p. div.,Cie Transatlantique,55 passagers.,"ALGER, 19 dée., vap. ir. GENERAL-CHANZY, 720 tx, e. Lelanchon, avec 233 tx div. p. div.; Cie Transatlantique : 55 passagers."
MAR_SM,1895_1_1,3,Du 31 décem,BONE,26 déc.,"Philippeville, 28 dito",vap,,OASIS,767 tx,c. Barrau,avec 480 tx div.,p. div.,Cie Mixte,14 passagers.,"BONE, 26 déc.; Philippeville, 28 dito, vap. Ir. OASIS, 767 tx, c. Barrau, avec 480 tx div. p. div.; Cie Mixte: 14 passagers."
MAR_SM,1895_1_1,3,Du 31 décem,DARMOUTH,22 déc.,,vap,ang,MARIA,455 tx,. Poud,sur lest,,nav. à M. Steward,,"DARMOUTH 22 déc., yacht-vap, ang. MARIA, 455 tx. e. Poud, sur lest; nav. à M. Steward."
MAR_SM,1895_1_1,3,Du 31 décem,DUNKERQUE,12 déc.,"Bordeaux, 20 dito",vap.,fr.,VILLE-DE-DUNKERQUE,"de-DUNKERQUE, 783 tx",cap. Giron,avec 1200 tx div.,p. div.,Cie des Vapeurs du Nord,,"DUNKERQUE, 12 déc.; Bordeaux, 20 dito, vap. fr. VILLE-DE-DUNKERQUE, 783 tx, cap. Giron, avec 1200 tx div. p. div.; Cie des Vapeurs du Nord."
MAR_SM,1895_1_1,3,Du 31 décem,GENES,29 déc.,,vap,ir,DURANCE,283 tx,cap. Grondona,avec 143 tx div.,p. div.,Cie Fraissi- net,30 passagers.,"GENES, 29 déc., vap. ir. DURANCE, 283 tx, cap. Grondona, avec 143 tx div. p. div.; Cie Fraissi- net: 30 passagers."
MAR_SM,1895_1_1,3,Du 31 décem,LA CIOTAT,31 déc.,,vap,fr,SAGHALIEN,2053 tx,e Chevalier,sur lest,,Messageries Maritimes,,"LA CIOTAT, 31 déc., vap, fr. SAGHALIEN, 2053 tx, e Chevalier, sur lest; Messageries Maritimes."
MAR_SM,1895_1_1,3,Du 31 décem,NICE,29 dée.,"Toulon, 30 déc.",vap,fr,MARIE- LOUISE,368 tx,e. Arnaud,avec 65 tx div.,p. div.,Cie Fraissinet,8 passagers,"NICE. 29 dée.; Toulon, 30 déc.. vap. fr. MARIE- LOUISE, 368 tx. e. Arnaud, avec 65 tx div. p. div.; Cie Fraissinet: 8 passagers."
MAR_SM,1895_1_1,3,Du 31 décem,PHILADELPHIE,8 nov.,,tr.-m.,norw.,ASCALON.,930 tx,e. Gulbrandsen,avec 5770 barils pétrole,à ordre,à MM. Alexander et Carr.,,"PHILADELPHIE, 8 nov., tr.-m. norw. ASCALON. 930 tx, e. Gulbrandsen, avec 5770 barils pétrole, à ordre nav, à MM. Alexander et Carr.)"
MAR_SM,1895_1_1,3,Du 31 décem,SINGAPORE,21 nov.,"Suez, 14 dée,; Port-Said 15; Gênes, 29 dito.",vap.,ang.,RATHO,2758 tx.,cap. Nisbet,avee 2000 tx div.,p. div.,navire à MM. Alexander.,,"SINGAPORE, 21 nov.; Suez, 14 dée,; Port-Said 15; Gênes, 29 dito. vap. ang. RATHO, 2758 tx. cap. Nisbet avee 2000 tx div. p. div.; navire à MM. Alexander."
MAR_SM,1895_1_1,3,Du 31 décem,TUNIS,21 dée.,"Bizerte, 22 dito: Bone. 23: Phiiippeviile, 24; Bougie, 25: Aiger, 28: Port- Vendres, 29: Cette, 30 dito",vap.,fr.,MOISE,701 tx.,e. Fouesnel,avee 148 tx div.,p. div.,Gie Transatlantique,12 passagers.,"TUNIS, 21 dée.: Bizerte, 22 dito: Bone. 23: Phi- lippeville, 24; Bougie, 25: Alger, 28: Port- Vendres, 29: Cette, 30 dito, vap. fr. MOISE, 701 tx. e. Fouesnel, avee 148 tx div. p. div.; Gie Transatlantique: 12 passagers."
